,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
17031010100,2625,4106,1891,2215,3316,3217,171,36.6,26.2,910,34.9,1045,21.4,642,18.0,539,28.7,12.2,59.1,38.8,40.4,0.0,0.0,2208,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17031010201,3007,7229,3554,3675,5570,5174,383,31.8,35.3,2057,28.7,1383,18.4,890,10.6,509,33.3,12.2,54.6,33.3,37.0,37.0,28624.0,2619,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17031010202,1227,2304,1215,1089,1919,1836,359,37.8,28.2,544,27.1,456,23.6,396,12.4,208,29.6,9.4,61.0,42.8,36.3,0.0,0.0,1022,4.0,0.0,5.0,0.0,2.0,30.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
17031010300,3264,6077,3095,2982,5259,5140,1050,40.1,30.0,1615,22.3,1058,20.6,980,11.5,546,19.9,11.6,68.5,42.3,42.2,42.2,0.0,2739,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
17031010400,2199,5011,2067,2944,4441,3086,380,25.4,22.9,1039,16.5,423,35.2,904,32.6,838,18.1,15.3,66.6,45.9,35.6,35.6,0.0,1869,1.0,54.0,21.0,0.0,0.0,38.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,6.0,0.0,9.0,1.0,0.0,4.0
17031010501,2563,3837,1779,2058,3408,3260,306,37.8,24.8,865,29.0,841,29.7,862,22.8,662,21.3,24.5,54.2,51.2,36.5,0.0,0.0,2288,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17031010502,1883,3413,2009,1404,3044,2795,108,28.5,21.8,688,28.8,585,28.4,577,18.0,365,39.2,5.9,54.9,49.0,36.1,36.1,0.0,1519,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
17031010503,1350,2080,1045,1035,1986,1855,636,43.4,24.9,497,12.3,196,24.4,389,18.8,300,38.3,8.1,53.6,35.9,33.1,0.0,0.0,1165,1.0,7.0,2.0,1.0,1.0,8.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0
17031010600,3270,6558,3549,3009,5368,5089,426,34.5,29.4,1594,22.5,1042,27.2,1262,18.6,862,17.7,12.3,70.0,45.5,40.3,40.3,30073.0,3085,0.0,0.0,3.0,2.0,0.0,12.0,4.0,0.0,4.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
17031010701,1704,3999,1950,2049,2904,2817,285,34.0,44.5,1350,18.2,487,27.3,732,17.2,462,14.9,14.8,70.3,28.2,35.3,35.3,0.0,1552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
