,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
53033000100,3725,6918,3383,3535,5647,5447,866,34.8,41.2,2390,27.6,1385,27.9,1398,17.0,854,18.9,10.8,70.3,19.9,27.5,27.5,38907.0,3400,4.0,4.0,15.0,0.0,3.0,32.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,11.0,7.0,1.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,38.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0
53033000200,3774,7974,3636,4338,6611,6333,1212,38.9,42.7,2941,25.1,1475,33.2,1952,19.5,1148,11.7,5.7,82.6,17.4,29.5,29.5,0.0,3572,4.0,0.0,8.0,0.0,0.0,42.0,4.0,4.0,13.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,67.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
53033000300,1176,2637,1372,1265,2102,2039,329,36.7,39.9,845,35.9,687,22.3,428,10.8,206,13.9,2.6,83.5,22.0,32.8,0.0,40250.0,1087,0.0,1.0,0.0,0.0,0.0,16.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
53033000401,3812,5907,2789,3118,5085,4879,1226,38.1,27.7,1479,33.5,1501,26.6,1194,12.7,572,24.6,7.2,68.2,14.3,27.5,27.5,0.0,3301,4.0,0.0,3.0,0.0,0.0,89.0,2.0,3.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
53033000402,2438,4906,2414,2492,4390,4322,1296,47.9,37.2,1659,24.8,1030,36.9,1530,16.4,678,7.2,6.4,86.3,15.4,27.6,0.0,37331.0,2299,1.0,0.0,1.0,0.0,0.0,16.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53033000500,1354,3044,1516,1528,2476,2432,629,51.8,69.8,1785,21.4,504,41.8,984,29.0,683,4.9,2.7,92.3,9.6,29.3,29.3,72377.0,1246,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
53033000600,3526,7674,3829,3845,6338,6231,1061,37.2,46.0,2960,26.5,1535,28.4,1645,17.6,1020,10.4,8.0,81.6,18.4,29.5,29.5,0.0,3345,2.0,6.0,3.0,0.0,5.0,111.0,8.0,1.0,14.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,2.0,12.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,20.0,40.0,1.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0
53033000700,2310,4892,2343,2549,4081,3935,628,34.5,40.4,1679,27.1,910,34.3,1153,17.4,584,14.7,10.8,74.5,27.6,32.5,0.0,36667.0,2169,2.0,0.0,11.0,0.0,1.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,24.0,0.0,5.0,3.0,1.0,3.0,4.0,0.0,0.0
53033000800,1087,2487,1199,1288,2048,1953,393,46.6,61.2,1262,27.2,516,27.3,518,32.3,613,7.3,2.1,90.5,16.6,31.1,0.0,48871.0,1020,0.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
53033000900,910,1971,852,1119,1626,1575,343,47.1,63.1,1070,14.8,223,32.5,489,44.4,669,7.1,3.5,89.4,15.1,27.6,0.0,0.0,844,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0
53033001000,814,2094,1110,984,1547,1449,169,35.2,49.2,786,30.1,415,27.5,379,26.7,369,20.5,13.9,65.6,24.1,30.0,0.0,0.0,792,0.0,5.0,7.0,0.0,0.0,26.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,12.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
53033001100,1116,2669,1310,1359,2178,2044,316,37.6,49.0,1083,25.2,484,31.0,597,29.8,574,12.6,2.1,85.4,22.2,32.5,32.5,0.0,1091,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53033001200,3714,6556,3236,3320,5602,5434,1139,35.4,33.2,1912,31.8,1542,30.3,1468,14.2,688,25.1,8.5,66.4,25.9,28.2,0.0,0.0,3568,14.0,13.0,18.0,0.0,10.0,52.0,2.0,4.0,3.0,0.0,2.0,0.0,5.0,12.0,0.0,1.0,0.0,11.0,8.0,7.0,2.0,0.0,2.0,11.0,0.0,1.0,4.0,46.0,0.0,3.0,1.0,0.0,5.0,2.0,0.0,0.0
53033001300,2331,4389,2102,2287,3922,3829,465,34.6,46.7,1840,28.0,956,31.9,1089,21.0,716,13.1,6.4,80.5,18.9,26.6,0.0,47434.0,2180,0.0,6.0,19.0,2.0,4.0,32.0,1.0,5.0,10.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,25.0,0.0,17.0,0.0,0.0,13.0,0.0,0.0,0.0
53033001400,2354,5505,2831,2674,4609,4512,562,36.7,52.6,2495,25.0,1016,32.7,1325,21.7,882,7.4,7.0,85.6,14.0,31.1,0.0,42036.0,2209,1.0,8.0,5.0,0.0,0.0,19.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,45.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0
53033001500,1134,2398,1245,1153,1935,1863,404,46.9,52.5,1035,19.8,361,42.8,782,27.1,495,4.7,1.0,94.4,12.8,26.2,0.0,0.0,1107,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53033001600,1855,4111,1929,2182,3355,3303,751,45.0,58.1,2010,26.4,849,34.0,1093,27.4,882,6.4,2.1,91.5,13.6,27.3,0.0,51667.0,1767,6.0,16.0,16.0,0.0,3.0,78.0,4.0,2.0,2.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,29.0,41.0,0.0,6.0,6.0,0.0,1.0,0.0,94.0,0.0
