,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6037101110,1757,4824,2372,2452,3855,3637,648,39.4,51.2,2035,40.8,1346,11.6,382,7.8,257,14.5,12.7,72.8,2.1,33.6,0.0,0.0,1645,0,0,0,0,0,32,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,2,0,362,0
6037101122,1374,3291,1590,1701,2774,2713,509,48.8,62.0,1753,39.7,1022,17.9,461,9.2,238,2.7,3.2,94.1,2.9,36.4,0.0,0.0,1218,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,92,0
6037101210,2362,5882,3032,2850,4706,4424,515,31.8,37.1,1870,30.3,1224,11.5,463,5.1,207,24.0,20.9,55.1,6.0,27.3,27.3,0.0,2299,0,0,0,0,0,148,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,4,0,336,0
6037101220,1256,2902,1360,1542,2353,2292,343,42.2,55.8,1322,34.0,763,13.5,303,6.3,141,14.2,17.2,68.6,1.7,28.4,0.0,0.0,1164,0,0,0,0,0,42,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,276,0
6037101300,1570,4410,2157,2253,3782,3751,889,48.4,54.3,2126,33.8,1198,20.4,723,10.6,376,7.3,2.5,90.1,2.0,34.2,0.0,46203.0,1535,3,0,0,0,3,58,4,0,6,0,0,0,0,11,0,1,0,1,1,1,1,0,1,4,0,3,8,0,0,5,1,0,0,0,172,0
6037101400,1543,4109,1944,2165,3336,3175,615,43.9,43.9,1559,37.5,1101,17.3,509,10.4,304,11.6,15.6,72.7,0.5,28.3,0.0,34885.0,1498,0,0,0,0,0,84,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,4,0,222,0
6037102103,708,1850,809,1041,1584,1545,307,46.3,50.2,818,30.1,447,24.8,369,13.3,197,6.5,1.7,91.7,0.6,29.2,0.0,0.0,680,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
6037102104,1330,3481,1708,1773,3029,2808,633,41.6,53.1,1662,30.1,763,26.9,681,17.0,431,6.8,5.2,88.0,3.9,29.0,0.0,0.0,1294,0,0,0,0,0,8,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0
6037102105,577,1942,980,962,1567,1443,164,32.1,41.2,685,30.6,397,13.5,176,2.5,33,17.7,8.3,74.0,3.6,24.5,0.0,0.0,577,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,170,0
6037102107,1347,3932,2109,1823,3257,3079,886,47.7,44.0,1507,37.8,1121,23.2,689,5.5,162,14.1,13.6,72.3,0.6,30.4,0.0,0.0,1258,0,1,0,0,0,28,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,412,0
