,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
36005000100,0,7703,7133,570,7326,6427,37,30.7,11.2,866,13.1,689,0.6,34,0.6,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005000200,1492,5403,2659,2744,4239,3998,739,37.3,43.5,1917,29.2,1038,12.5,443,3.3,116,20.0,4.7,75.3,38.6,43.0,0.0,0.0,1379,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005000400,2129,5915,2896,3019,4516,4296,590,36.4,32.8,1531,36.4,1474,14.5,585,8.7,353,13.2,9.2,77.6,44.6,45.0,0.0,45238.0,1921,0.0,22.0,1.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
36005001600,2046,5879,2558,3321,4390,4139,937,38.8,31.0,1441,25.2,927,9.1,336,4.2,153,26.3,26.4,47.3,45.5,38.8,0.0,0.0,1964,0.0,0.0,1.0,0.0,1.0,2.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36005001900,947,2591,1206,1385,1962,1901,87,32.5,25.1,507,29.4,501,13.8,235,6.2,105,37.1,12.3,50.7,63.9,45.4,45.4,0.0,901,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
36005002000,3170,8516,3301,5215,6329,5949,949,35.5,21.6,1488,22.1,1175,6.5,346,2.9,155,53.2,12.2,34.6,68.2,46.0,0.0,21488.0,2953,0.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36005002300,2004,4774,2130,2644,3362,3106,627,29.1,15.6,545,18.8,511,3.1,85,1.3,34,54.2,22.5,23.3,74.5,42.7,0.0,0.0,1937,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005002400,30,150,109,41,113,113,0,27.9,0.0,0,36.3,41,26.5,30,37.2,42,0.0,0.0,100.0,100.0,0.0,0.0,55923.0,30,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36005002500,2073,5355,2338,3017,3561,3299,516,29.5,23.9,916,19.1,579,5.2,156,3.1,93,50.5,6.4,43.2,62.5,35.5,0.0,21954.0,1840,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36005002701,1130,3016,1375,1641,1983,1838,189,29.2,25.9,546,20.5,334,5.5,90,3.3,54,52.6,10.7,36.7,64.7,42.8,0.0,0.0,1102,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005002702,1452,4778,2427,2351,3294,2886,444,27.8,23.8,892,22.5,559,6.6,163,0.4,10,52.7,16.2,31.1,83.6,44.0,0.0,0.0,1392,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005002800,2410,5299,2292,3007,4337,4148,1007,42.2,32.6,1457,32.3,1252,16.1,623,5.0,195,8.5,7.8,83.7,48.2,47.3,0.0,41946.0,2334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005003100,533,1466,769,697,1101,1053,160,34.8,39.8,467,22.5,199,7.6,67,0.0,0,18.1,17.6,64.3,65.5,40.1,0.0,28403.0,507,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36005003300,1239,3912,1824,2088,2515,2280,244,25.9,15.5,439,20.5,416,7.3,148,2.3,46,56.3,12.9,30.7,68.4,42.5,0.0,17940.0,1144,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36005003500,1397,3948,1921,2027,2766,2645,350,29.9,27.2,801,13.5,324,9.5,229,0.7,17,36.3,20.9,42.8,64.7,41.6,0.0,0.0,1317,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
