,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
6075010100,2307,3798,2056,1742,3550,3443,783,38.4,33.3,1190,22.2,680,27.2,834,29.8,913,15.6,7.0,77.5,22.7,29.6,0.0,0.0,2049,8.0,7.0,16.0,1.0,3.0,25.0,5.0,10.0,1.0,1.0,22.0,4.0,9.0,12.0,0.0,3.0,2.0,60.0,5.0,8.0,12.0,2.0,1.0,5.0,0.0,3.0,0.0,117.0,0.0,2.0,0.0,3.0,57.0,11.0,0.0,0.0
6075010200,3085,4172,2173,1999,3935,3919,882,40.8,36.6,1449,14.1,546,43.5,1681,37.1,1434,5.0,4.3,90.7,38.5,27.3,27.3,0.0,2615,2.0,55.0,1.0,0.0,0.0,9.0,1.0,8.0,1.0,0.0,8.0,2.0,5.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,16.0,65.0,0.0,1.0,0.0,0.0,36.0,1.0,20.0,0.0
6075010300,2395,4387,2282,2105,3882,3811,933,39.6,42.8,1669,20.0,699,33.1,1155,21.8,760,15.9,2.7,81.4,32.6,27.3,0.0,0.0,2030,0.0,1.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6075010400,2805,5148,2711,2437,4622,4586,685,37.3,36.1,1672,20.7,905,39.6,1732,31.1,1360,7.9,2.5,89.6,22.4,29.4,0.0,0.0,2557,0.0,2.0,4.0,0.0,0.0,8.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,52.0,0.0,0.0,0.0,0.0,8.0,3.0,6.0,0.0
6075010500,1969,2589,1315,1274,2332,2195,727,43.7,47.2,1106,16.3,347,38.8,826,34.6,736,9.4,6.1,84.4,12.0,23.9,0.0,0.0,1582,7.0,73.0,18.0,2.0,0.0,26.0,2.0,12.0,0.0,0.0,4.0,1.0,19.0,9.0,0.0,3.0,2.0,27.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,23.0,160.0,0.0,4.0,0.0,0.0,23.0,9.0,2.0,0.0
6075010600,2098,3604,2064,1540,3391,3252,669,41.9,37.1,1282,14.8,454,27.6,844,13.2,403,24.4,12.7,62.9,26.4,25.6,0.0,0.0,1872,5.0,2.0,4.0,1.0,1.0,14.0,2.0,5.0,2.0,4.0,7.0,8.0,5.0,2.0,0.0,1.0,9.0,51.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,0.0,2.0,0.0,0.0,13.0,5.0,46.0,0.0
6075010700,2750,5302,2661,2641,4769,4655,1300,49.4,48.3,2371,11.4,488,21.1,905,3.4,145,26.0,18.7,55.3,32.0,28.2,0.0,0.0,2426,6.0,1.0,4.0,2.0,3.0,16.0,2.0,5.0,4.0,0.0,9.0,4.0,11.0,2.0,0.0,0.0,9.0,46.0,7.0,9.0,4.0,0.0,1.0,7.0,0.0,1.0,1.0,44.0,0.0,8.0,0.0,2.0,14.0,15.0,24.0,0.0
6075010800,2787,5065,2233,2832,4614,4516,872,42.3,28.4,1341,12.1,512,46.5,1960,16.4,692,17.3,6.3,76.4,25.1,30.7,0.0,60060.0,2524,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,33.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0
6075010900,2927,4535,1872,2663,4333,4315,716,36.7,29.5,1287,9.9,410,49.6,2046,32.7,1348,9.1,3.0,87.9,30.7,31.4,0.0,0.0,2789,3.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,3.0,2.0,9.0,0.0,0.0,0.0,5.0,31.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,43.0,0.0,2.0,0.0,0.0,7.0,1.0,104.0,0.0
6075011000,2837,5085,2309,2776,4845,4754,529,32.3,32.5,1577,13.4,617,40.2,1857,27.1,1251,5.4,7.6,87.1,38.4,32.5,0.0,0.0,2617,4.0,1.0,11.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,15.0,8.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,6.0,59.0,0.0,2.0,0.0,0.0,4.0,6.0,68.0,0.0
6075011100,3329,4940,2628,2312,4648,4625,694,35.2,26.0,1210,20.3,880,39.8,1728,18.9,821,11.1,5.9,83.0,39.7,29.7,0.0,0.0,3036,5.0,0.0,3.0,0.0,6.0,10.0,4.0,5.0,5.0,0.0,8.0,5.0,13.0,1.0,0.0,0.0,4.0,29.0,11.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0
6075011200,2344,3281,1660,1621,3066,3029,781,42.3,33.5,1046,15.5,440,44.2,1252,23.3,660,12.0,11.4,76.7,34.8,29.1,29.1,0.0,1818,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6075011300,1632,2885,1450,1435,2600,2522,941,52.4,50.4,1366,11.4,265,21.6,503,5.2,122,23.4,13.4,63.2,25.1,24.8,0.0,39375.0,1517,3.0,0.0,0.0,0.0,5.0,2.0,7.0,4.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,6.0,0.0,1.0,2.0,6.0,0.0,0.0
6075011700,1259,1635,908,727,1607,1535,123,44.4,33.2,534,19.8,276,26.4,368,12.3,171,25.2,6.5,68.3,31.4,27.2,0.0,0.0,1024,51.0,6.0,21.0,2.0,10.0,16.0,11.0,33.0,2.0,0.0,36.0,11.0,47.0,23.0,1.0,2.0,5.0,79.0,36.0,73.0,15.0,2.0,5.0,16.0,0.0,3.0,0.0,136.0,0.0,37.0,0.0,0.0,57.0,14.0,3.0,0.0
6075011800,739,1622,844,778,1462,1410,409,48.6,47.3,701,10.9,139,15.7,201,3.1,40,35.9,17.8,46.3,47.5,30.7,0.0,0.0,699,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,12.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,12.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0
6075011901,1736,2561,1331,1230,2505,2337,365,37.2,19.2,488,21.1,424,42.9,862,25.4,510,14.4,5.7,79.9,24.0,32.8,0.0,0.0,1509,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6075011902,1956,2786,1536,1250,2683,2673,385,34.8,15.5,420,23.5,565,34.9,840,23.7,569,19.1,12.9,67.9,22.0,26.5,0.0,0.0,1837,0.0,0.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0
6075012000,2761,3776,2179,1597,3710,3667,342,37.4,28.4,1058,29.6,955,33.0,1063,7.2,232,21.9,12.7,65.4,37.7,27.4,27.4,36593.0,2569,4.0,0.0,5.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,5.0,3.0,6.0,3.0,0.0,0.0,6.0,12.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,23.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0
